name,party
George Washington,none
John Adams,Federalist
Thomas Jefferson,Democratic-Republican
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
John Quincy Adams,Democratic-Republican
Andrew Jackson,Democratic
Martin Van Buren,Democratic
John Tyler,Whig & Democratic
James Polk,Democratic
Zachary Taylor,Whig
Millard Fillmore,Whig
Franklin Pierce,Democratic
James Buchanan,Democratic
Abraham Lincoln,Republican
Andrew Johnson,National Union
Ulysses S Grant,Republican
Rutherford B Hayes,Republican
Chester A Arthur,Republican
Grover Cleveland,Democratic
Benjamin Harrison,Republican
William Mc Kinley,Republican
Theodore Roosevelt,Republican
William H Taft,Republican
Woodrow Wilson,Democratic
Warren G Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Franklin D Roosevelt,Democratic
Harry S Truman,Democratic
Dwight D Eisenhower,Republican
John F Kennedy,Democratic
Lyndon B Johnson,Democratic
Richard Nixon,Republican
Gerald R Ford,Republican
Jimmy Carter,Democratic
Ronald Reagan,Republican
George Bush,Republican
William J Clinton,Democratic
George W Bush,Republican
Barack Obama,Democratic
Donald J Trump,Republican
Joseph R Biden,Democratic
